[0211/160610.607:WARNING:backend_impl.cc(1837)] Destroying invalid entry.
[0211/160610.607:ERROR:backend_impl.cc(1041)] Critical error found -8
[0211/160610.847:WARNING:storage_block-inl.h(146)] Failed data load.
[0211/160610.847:WARNING:storage_block-inl.h(146)] Failed data load.
[0211/160610.847:WARNING:storage_block-inl.h(146)] Failed data load.
[0211/160610.848:WARNING:storage_block-inl.h(146)] Failed data load.
[0211/160610.848:WARNING:storage_block-inl.h(146)] Failed data load.
[0211/160610.850:WARNING:storage_block-inl.h(146)] Failed data load.
[0211/160610.850:ERROR:entry_impl.cc(998)] Failed to save user data
[0211/160610.850:ERROR:entry_impl.cc(998)] Failed to save user data
[0211/160810.434:ERROR:gpu_init.cc(426)] Passthrough is not supported, GL is disabled
[0211/180835.569:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180835.570:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180840.573:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180840.588:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180845.578:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180845.603:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180850.580:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180850.619:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180855.583:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180855.629:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180900.586:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180900.639:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180905.589:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180905.648:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180910.592:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180910.663:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180915.593:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180915.665:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180920.597:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180920.674:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180925.600:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180925.683:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180930.602:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180930.689:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180935.606:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180935.691:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180940.609:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180940.705:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180945.613:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180945.706:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180950.615:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180950.715:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180955.617:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/180955.721:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181000.619:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181000.732:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181005.621:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181005.734:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181010.623:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181010.750:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181015.626:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181015.760:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181020.630:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181020.767:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181025.633:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181025.773:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181030.636:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181030.777:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181035.639:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181035.782:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181040.642:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181040.788:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181045.645:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181045.802:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181050.647:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181050.818:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181055.650:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181055.830:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181100.652:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181100.843:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181105.654:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181105.855:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181110.658:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181110.871:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181115.661:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181115.881:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181120.663:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181120.889:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181125.665:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
[0211/181125.898:WARNING:dns_config_service_win.cc(712)] Failed to read DnsConfig.
